compliance,grayness,iteration,outer_iters,outer_solver,rho_max,rho_mean,rho_min,wall_s
149.0575071197155,0.8082066774450753,1,15,pcg,0.4,0.29999999173443515,0.19999999999999998,97.26923519998672
78.78502178610378,0.7692385854411765,2,18,pcg,0.5,0.29999999934937754,0.09999999999999998,0.29241280001588166
52.64542435963231,0.7214660687135366,3,33,pcg,0.6,0.30000000345591077,0.0011102365076845772,0.42621669999789447
37.79955470592098,0.6623245628693593,4,52,pcg,0.7,0.3000000040413335,0.001,0.6299459000001661
28.49442209190722,0.5978982176444331,5,65,pcg,0.7999999999999999,0.29999999975139324,0.001,0.7464538000058383
22.078551273634982,0.525114231505944,6,80,pcg,0.8999999999999999,0.2999999968408551,0.001,0.9066335000097752
17.263918816120064,0.43741960082648734,7,142,pcg,0.9999999999999999,0.2999999996015786,0.001,1.5208585000073072
13.313219687209873,0.382847495451374,8,257,pcg,1.0,0.30000000354777656,0.001,10.630093100015074
11.279391434717839,0.31550234874305844,9,175,pcg,1.0,0.30000000043868386,0.001,1.7699876000115182
10.020326869520046,0.24730724962242331,10,800,pcg,1.0,0.2999999923785026,0.001,16.016379000007873
9.217808353711696,0.18802493473727064,11,800,pcg,1.0,0.30000000142295064,0.001,16.99189470001147
8.668965937290237,0.13908847127500792,12,524,pcg,1.0,0.2999999946037549,0.001,5.385801399999764
8.259762995695924,0.09926445111429981,13,800,pcg,1.0,0.30000000492708734,0.001,16.33726219998789
7.940416557153602,0.07000340594900421,14,800,pcg,1.0,0.2999999996068696,0.001,16.141829100000905
7.73798880670463,0.04806591164758631,15,800,pcg,1.0,0.29999999998480636,0.001,16.095074999990175
7.6244895814217,0.031996217697898205,16,800,pcg,1.0,0.30000000395542936,0.001,16.203128399996785
7.556074381297475,0.020673484670280216,17,800,pcg,1.0,0.30000000805706245,0.001,16.197685400024056
7.514158624539724,0.013328703155475234,18,800,pcg,1.0,0.2999999942154278,0.001,16.023758900002576
7.4892523285050885,0.009054151331420568,19,800,pcg,1.0,0.2999999990943656,0.001,15.875679300021147
7.47511688446033,0.006532306045514187,20,800,pcg,1.0,0.29999999237409575,0.001,15.955493499990553
