case,dims,n_elem,ndof,n_free,n_fixed,metric,value,threshold,pass
tool_long_cantilever_vf16,6x4x4,96,525,450,75,matvec_rel_l2,2.883303041611642e-16,1e-10,True
tool_long_cantilever_vf16,6x4x4,96,525,450,75,matvec_rel_inf,4.2676796884722316e-16,1e-10,True
tool_long_cantilever_vf16,6x4x4,96,525,450,75,energy_rel,0.0,1e-10,True
tool_long_cantilever_vf16,6x4x4,96,525,450,75,symmetry_ref_rel,0.0,1e-10,True
tool_long_cantilever_vf16,6x4x4,96,525,450,75,symmetry_matfree_rel,1.7620037116370753e-16,1e-10,True
tool_long_cantilever_vf16,6x4x4,96,525,450,75,diagonal_rel_l2,1.1343065056005555e-16,1e-10,True
tool_long_cantilever_vf16,6x4x4,96,525,450,75,fixed_free_overlap,0,0,True
tool_long_cantilever_vf16,6x4x4,96,525,450,75,operator_case_pass,1,1,True
