case,dims,n_elem,element,rho,compliance,analytic_dc,finite_difference_dc,abs_error,rel_error,threshold,pass
tool_long_cantilever_vf16,6x4x4,96,84,0.1003744658347624,600.3622516577163,-625.9313930406645,-625.9313938699052,8.292406619148096e-07,1.3248107860318646e-09,0.0005,True
tool_long_cantilever_vf16,6x4x4,96,89,0.2153822074744462,600.3622516577163,-711.0507423678656,-711.0507418701673,4.976983518645284e-07,6.999477283535999e-10,0.0005,True
tool_long_cantilever_vf16,6x4x4,96,88,0.2163191082910919,600.3622516577163,-833.175043189438,-833.1750431125329,7.690516667935299e-08,9.230373294062668e-11,0.0005,True
tool_long_cantilever_vf16,6x4x4,96,55,0.18895787750005605,600.3622516577163,-94.7682446452481,-94.76824430976194,3.3548616329426295e-07,3.5400694035233985e-09,0.0005,True
tool_long_cantilever_vf16,6x4x4,96,22,0.14741298319089058,600.3622516577163,-69.4116684622321,-69.41166816432087,2.979112281309426e-07,4.291947373272556e-09,0.0005,True
