kind,case_id,status,mesh,command_wall_s,out_dir,all_pass,operator_rows,sensitivity_rows,filter_rows,sensitivity_max_rel_error,filter_max_value,backend_requested,n_elem,volfrac,load,iterations_requested,render_status,backend_reported,linear_solver,iterations_reported,reported_total_wall_s,final_compliance,final_grayness,final_iter_wall_s,outer_iters,rho_mean,rho_min,rho_max,problem_name
verification,tool_long_cantilever_vf16,pass,6x4x4,9.720938299986301,backend_3d/results_3d_suite/verify/tool_long_cantilever_vf16,True,8,5,2,4.291947373272556e-09,7.771561172376096e-16,,,,,,,,,,,,,,,,,,
verification,tool_asymmetric_bracket_vf14,pass,6x4x4,9.824971900001401,backend_3d/results_3d_suite/verify/tool_asymmetric_bracket_vf14,True,8,5,2,2.56908434932069e-08,7.771561172376096e-16,,,,,,,,,,,,,,,,,,
verification,tool_portal_bridge_vf18,pass,8x4x4,9.951340899977367,backend_3d/results_3d_suite/verify/tool_portal_bridge_vf18,True,8,5,2,2.2561290287196664e-08,6.661338147750939e-16,,,,,,,,,,,,,,,,,,
execution,cantilever_z_24x12x6_vf30,pass,24x12x6,103.02746169999591,backend_3d/results_3d_suite/runs/cantilever_z_24x12x6_vf30,,,,,,,cupy,1728,0.3,tip_patch_z,5,pass,SolverV4,pcg_gmg,5,101.78848250000738,90.3885110927099,0.5871711339750099,0.4226899999775924,28,0.30000000668053284,0.001,0.7999999999999999,cantilever_3d
execution,cantilever_y_24x12x6_vf30,pass,24x12x6,119.62678150000283,backend_3d/results_3d_suite/runs/cantilever_y_24x12x6_vf30,,,,,,,cupy,1728,0.3,tip_point_y,5,pass,SolverV4,pcg_gmg,5,118.2420953999972,38.58959055263126,0.6493369462306057,1.1988444000016898,98,0.2999999958016251,0.001,0.7999999999999999,cantilever_3d
