case,dims,n_elem,element,rho,compliance,analytic_dc,finite_difference_dc,abs_error,rel_error,threshold,pass
tool_portal_bridge_vf18,8x4x4,128,61,0.21922204448133129,138.2379119762848,-283.8370718157662,-283.8370717910266,2.4739620130276307e-08,8.716134214608293e-11,0.0005,True
tool_portal_bridge_vf18,8x4x4,128,62,0.23912442668460557,138.2379119762848,-286.5450176529596,-286.5450176585682,5.608626452158205e-09,1.9573282055251598e-11,0.0005,True
tool_portal_bridge_vf18,8x4x4,128,78,0.19535496089048107,138.2379119762848,-302.40472294707035,-302.40472287346165,7.360870313277701e-08,2.4341122193935007e-10,0.0005,True
tool_portal_bridge_vf18,8x4x4,128,73,0.1886161269277929,138.2379119762848,-46.17334503996057,-46.173345111810704,7.185013117805283e-08,1.5560954270058776e-09,0.0005,True
tool_portal_bridge_vf18,8x4x4,128,29,0.2304687416104734,138.2379119762848,-3.2058209301113663,-3.2058210024388245,7.232745824481412e-08,2.2561290287196664e-08,0.0005,True
