case_id,mesh,n_elem,volfrac,filter_radius,backend,linear_solver,n_iter,total_wall_s,final_iter_wall_s,compliance,grayness,outer_iters,rho_mean,rho_min,rho_max,run_dir
cantilever_z_27k_vf30_i20,60x30x15,27000,0.3,2.0,SolverV4,pcg_gmg,20,179.70041000001947,8.21489410000504,3.7942689299910923,0.013173473191680074,800,0.30000000921420417,0.001,1.0,backend_3d/results_3d_large/runs/cantilever_z_27k_vf30_i20
cantilever_z_64k_vf30_i20,80x40x20,64000,0.3,2.2,SolverV4,pcg_gmg,20,281.87713700000313,15.955493499990553,7.47511688446033,0.006532306045514187,800,0.29999999237409575,0.001,1.0,backend_3d/results_3d_large/runs/cantilever_z_64k_vf30_i20
cantilever_z_216k_vf30_i20,120x60x30,216000,0.3,2.5,SolverV4,pcg_gmg,20,306.3372081000125,16.18191179999849,5.242062231324503,0.00991921114623036,800,0.30000000375728475,0.001,1.0,backend_3d/results_3d_large/runs/cantilever_z_216k_vf30_i20
