case,dims,n_elem,element,rho,compliance,analytic_dc,finite_difference_dc,abs_error,rel_error,threshold,pass
tool_asymmetric_bracket_vf14,6x4x4,96,93,0.08125485992578832,1078.9843940165983,-934.8657769454895,-934.8657770260616,8.057202194322599e-08,8.618565779521509e-11,0.0005,True
tool_asymmetric_bracket_vf14,6x4x4,96,88,0.19631910829109192,1078.9843940165983,-1233.257055042342,-1233.2570559010492,8.587071533838753e-07,6.96292106560446e-10,0.0005,True
tool_asymmetric_bracket_vf14,6x4x4,96,89,0.1953822074744462,1078.9843940165983,-1280.5712189880012,-1280.5712206045428,1.6165415672730887e-06,1.262359751072602e-09,0.0005,True
tool_asymmetric_bracket_vf14,6x4x4,96,55,0.1689578775000561,1078.9843940165983,-66.66857245071458,-66.66857416348648,1.7127719047493883e-06,2.56908434932069e-08,0.0005,True
tool_asymmetric_bracket_vf14,6x4x4,96,22,0.1274129831908906,1078.9843940165983,-101.84426733241659,-101.84426548676129,1.8456553050327784e-06,1.8122328859302564e-08,0.0005,True
