compliance,grayness,iteration,outer_iters,outer_solver,rho_max,rho_mean,rho_min,wall_s
139.5824594960633,0.8138473233111989,1,28,pcg,0.4,0.29999999895883755,0.19999999999999998,115.2981243999966
87.62738259180718,0.7942098855231796,2,26,pcg,0.5,0.300000000940837,0.09999999999999998,0.403716800006805
63.0557980214107,0.7497348632793893,3,37,pcg,0.6,0.29999999386301573,0.007004184371463162,0.5232733000011649
48.52290299317282,0.7041110481509363,4,63,pcg,0.7,0.3000000055494673,0.001,0.8106251999852248
38.58959055263126,0.6493369462306057,5,98,pcg,0.7999999999999999,0.2999999958016251,0.001,1.1988444000016898
