compliance,grayness,iteration,outer_iters,outer_solver,rho_max,rho_mean,rho_min,wall_s
108.99929971505411,0.8081911582831569,1,21,pcg,0.4,0.3000000021252898,0.19999999999999998,60.95582260002266
56.563188769931415,0.7693479973059433,2,22,pcg,0.5,0.2999999991651137,0.09999999999999998,0.19894860000931658
37.15764248280814,0.7215250351585364,3,51,pcg,0.6,0.3000000024512672,0.001,0.3551625000254717
26.405304860170368,0.6627036514679626,4,80,pcg,0.7,0.300000001878321,0.001,0.5286302999884356
19.777990521315264,0.5979310628222664,5,115,pcg,0.7999999999999999,0.2999999957049083,0.001,0.7354602999985218
15.256819162636464,0.5255974418957684,6,175,pcg,0.8999999999999999,0.2999999968792865,0.001,1.045210300013423
